sequence_length,n,rate
1,8816,0.7314968469963492
2,1066,0.0884500497842681
3,581,0.0482077663458347
4,360,0.0298705609027547
5,290,0.0240623962827746
6,195,0.0161798871556588
7,140,0.0116163292399601
8,604,0.0501161632923996
all_seq_len_ge_1,12052,1.0
seq_len_ge_2,3236,0.2685031530036508
seq_len_ge_3,2170,0.1800531032193826
seq_len_ge_4,1589,0.1318453368735479
