model,scenario,horizon_year,metric,point,boot_mean,ci_low,ci_high,boot_valid_n,observed_n,positive_n
step89_summary_augmented_modular_v4,full_all_modules,2,AUPRC,0.5852599208166032,0.6002041676596799,0.48340466089857514,0.7178280345693053,1000,509,80
step89_summary_augmented_modular_v4,full_all_modules,2,Brier,0.0852090451730946,0.08485122645618513,0.07148878681662685,0.09990212117876382,1000,509,80
step89_summary_augmented_modular_v4,full_all_modules,3,AUROC,0.9137801769380717,0.9140231751911666,0.8796500398243807,0.9427301556548948,1000,459,117
step89_summary_augmented_modular_v4,full_all_modules,3,AUPRC,0.8223418039456344,0.8221075890055894,0.7463425636982612,0.8770504351991911,1000,459,117
step89_summary_augmented_modular_v4,full_all_modules,3,Brier,0.09894978150152034,0.09878100846548472,0.08128202009044981,0.11823293935539614,1000,459,117
step89_summary_augmented_modular_v4,full_all_modules,5,AUROC,0.9261342790754555,0.9258584174831558,0.8990877730568048,0.9517906134172625,1000,369,148
step89_summary_augmented_modular_v4,full_all_modules,5,AUPRC,0.9033292960435148,0.9025324500167086,0.8598496322690461,0.9400400766606593,1000,369,148
step89_summary_augmented_modular_v4,full_all_modules,5,Brier,0.10754717637463784,0.1078054786091491,0.08773489208324874,0.12731196585271606,1000,369,148
step89_summary_augmented_modular_v4,no_ADAS13,1,AUROC,0.9000557781045586,0.8993875395715553,0.8539003099329665,0.9362944915610212,1000,570,37
step89_summary_augmented_modular_v4,no_ADAS13,1,AUPRC,0.3118124701914499,0.3297530488198199,0.21286957341131515,0.46073347630965705,1000,570,37
step89_summary_augmented_modular_v4,no_ADAS13,1,Brier,0.0491961683161354,0.049203564611739296,0.038855143076492335,0.06120509600633374,1000,570,37
step89_summary_augmented_modular_v4,no_ADAS13,2,AUROC,0.8880244755244756,0.8886506206702763,0.8500498391660395,0.9229715886248888,1000,509,80
step89_summary_augmented_modular_v4,no_ADAS13,2,AUPRC,0.5296886068596386,0.5415397502455673,0.4267861818915872,0.6514461711982661,1000,509,80
step89_summary_augmented_modular_v4,no_ADAS13,2,Brier,0.0893524368086725,0.08909291806252588,0.07466572663165662,0.1037242194119468,1000,509,80
step89_summary_augmented_modular_v4,no_ADAS13,3,AUROC,0.8961613435297645,0.8968990228726782,0.8594898889803483,0.9290525018689372,1000,459,117
step89_summary_augmented_modular_v4,no_ADAS13,3,AUPRC,0.7323977882467011,0.7386429351299331,0.650257112333419,0.8220883510983552,1000,459,117
step89_summary_augmented_modular_v4,no_ADAS13,3,Brier,0.10336190763543306,0.10310284174146009,0.08464183031746682,0.12340375634241575,1000,459,117
step89_summary_augmented_modular_v4,no_ADAS13,5,AUROC,0.9219151277974807,0.9217476761614244,0.8910731760628832,0.9499097862186404,1000,369,148
step89_summary_augmented_modular_v4,no_ADAS13,5,AUPRC,0.8777852369153148,0.8790103800816605,0.8260051219413681,0.9270057273200397,1000,369,148
step89_summary_augmented_modular_v4,no_ADAS13,5,Brier,0.10566842339918284,0.10573221945358019,0.0884709951974615,0.1251111824196923,1000,369,148
step89_summary_augmented_modular_v4,no_CDGLOBAL_CDRSB,1,AUROC,0.9156736473809644,0.9145906095622788,0.8819127021637105,0.9461202315829503,1000,570,37
step89_summary_augmented_modular_v4,no_CDGLOBAL_CDRSB,1,AUPRC,0.4071368895817925,0.41939413673856696,0.27453849631507526,0.5709007384772132,1000,570,37
step89_summary_augmented_modular_v4,no_CDGLOBAL_CDRSB,1,Brier,0.04780168224281083,0.04793484193215527,0.03716434776795513,0.059616172202038395,1000,570,37
step89_summary_augmented_modular_v4,no_CDGLOBAL_CDRSB,2,AUROC,0.9032342657342658,0.9029937367083188,0.873517369079588,0.9315221568457946,1000,509,80
step89_summary_augmented_modular_v4,no_CDGLOBAL_CDRSB,2,AUPRC,0.5860516269241643,0.592381818403382,0.4783326023289015,0.7035374009974606,1000,509,80
step89_summary_augmented_modular_v4,no_CDGLOBAL_CDRSB,2,Brier,0.08753634807885563,0.08757432241606015,0.07449500528636017,0.10259311914473092,1000,509,80
step89_summary_augmented_modular_v4,no_CDGLOBAL_CDRSB,3,AUROC,0.9081571449992503,0.9084427937734609,0.8795475684697399,0.9358780326794415,1000,459,117
step89_summary_augmented_modular_v4,no_CDGLOBAL_CDRSB,3,AUPRC,0.8024023327888976,0.8029841716601392,0.7353077903707437,0.8658014750891831,1000,459,117
step89_summary_augmented_modular_v4,no_CDGLOBAL_CDRSB,3,Brier,0.10492085579988525,0.1046035654085747,0.08664314174140841,0.12253718761604088,1000,459,117
step89_summary_augmented_modular_v4,no_CDGLOBAL_CDRSB,5,AUROC,0.9225265989971871,0.922945515758657,0.8953557431413928,0.9468692608400701,1000,369,148
step89_summary_augmented_modular_v4,no_CDGLOBAL_CDRSB,5,AUPRC,0.8956709940888095,0.8966973782415487,0.8499717887619144,0.9306881941251114,1000,369,148
step89_summary_augmented_modular_v4,no_CDGLOBAL_CDRSB,5,Brier,0.11779140634730091,0.11729521204254857,0.09968551137534962,0.13813583307252333,1000,369,148
step89_summary_augmented_modular_v4,no_FAQTOTAL,1,AUROC,0.8910805740074033,0.890098656574112,0.834011480473973,0.9340397632561889,1000,570,37
step89_summary_augmented_modular_v4,no_FAQTOTAL,1,AUPRC,0.41075723997372066,0.4183092177495638,0.261734381931178,0.5585096564392702,1000,570,37
step89_summary_augmented_modular_v4,no_FAQTOTAL,1,Brier,0.047993537189309925,0.0479051539748081,0.036565889226438386,0.06068095366902099,1000,570,37
step89_summary_augmented_modular_v4,no_FAQTOTAL,2,AUROC,0.8856060606060606,0.8857571493160683,0.8460106049226547,0.9208691236729559,1000,509,80
step89_summary_augmented_modular_v4,no_FAQTOTAL,2,AUPRC,0.573985833481972,0.5868558238485507,0.4720799894555708,0.6871715530124793,1000,509,80
step89_summary_augmented_modular_v4,no_FAQTOTAL,2,Brier,0.0884672937213037,0.08850722361111991,0.07396034779122783,0.10520661478068184,1000,509,80
step89_summary_augmented_modular_v4,no_FAQTOTAL,3,AUROC,0.8996351277053032,0.8990457900549813,0.8627287780849134,0.9289876644276864,1000,459,117
step89_summary_augmented_modular_v4,no_FAQTOTAL,3,AUPRC,0.8050596859208694,0.8036621107812958,0.737725796615259,0.8626977669489015,1000,459,117
step89_summary_augmented_modular_v4,no_FAQTOTAL,3,Brier,0.10660502629212958,0.10663978609095676,0.0882169788560845,0.12721547694253058,1000,459,117
step89_summary_augmented_modular_v4,no_FAQTOTAL,5,AUROC,0.9096857038033509,0.9093694280450134,0.8784270148571794,0.9354044813499576,1000,369,148
step89_summary_augmented_modular_v4,no_FAQTOTAL,5,AUPRC,0.8875928971089367,0.8875813905446711,0.8460073001735485,0.9220496889364861,1000,369,148
step89_summary_augmented_modular_v4,no_FAQTOTAL,5,Brier,0.1286363723401106,0.12869761520149914,0.10862411742630565,0.1504974481233761,1000,369,148
step89_summary_augmented_modular_v4,no_MMSE,1,AUROC,0.903199634906952,0.9032049808443632,0.8557842729131976,0.9399821430966475,1000,570,37
step89_summary_augmented_modular_v4,no_MMSE,1,AUPRC,0.39741051565135693,0.40618399773495834,0.2754648963646691,0.5438003033841113,1000,570,37
step89_summary_augmented_modular_v4,no_MMSE,1,Brier,0.048342083081454115,0.04832007639470627,0.03695171729282322,0.060790220425472385,1000,570,37
step89_summary_augmented_modular_v4,no_MMSE,2,AUROC,0.8983100233100233,0.8982568402202028,0.8628509577340224,0.9309617680199854,1000,509,80
step89_summary_augmented_modular_v4,no_MMSE,2,AUPRC,0.5752701997948138,0.584607984346029,0.47021041310412126,0.7043642198588322,1000,509,80
step89_summary_augmented_modular_v4,no_MMSE,2,Brier,0.08642089588813137,0.08612038821945343,0.07192074123136524,0.10156706596418992,1000,509,80
step89_summary_augmented_modular_v4,no_MMSE,3,AUROC,0.913330334382966,0.9135344439125731,0.8815176380094636,0.9431370480675608,1000,459,117
step89_summary_augmented_modular_v4,no_MMSE,3,AUPRC,0.8218326749571105,0.821749079742792,0.755166460301319,0.8763566690341981,1000,459,117
step89_summary_augmented_modular_v4,no_MMSE,3,Brier,0.09848324214715434,0.09825322561489273,0.08169045279812247,0.11681670986890212,1000,459,117
step89_summary_augmented_modular_v4,no_MMSE,5,AUROC,0.9224960254372019,0.9220352080981942,0.8923392177873808,0.9480565678308676,1000,369,148
step89_summary_augmented_modular_v4,no_MMSE,5,AUPRC,0.9002740751310911,0.9000954083530717,0.8599607193467945,0.9339408357368858,1000,369,148
step89_summary_augmented_modular_v4,no_MMSE,5,Brier,0.10800797096127612,0.1081028466893485,0.08943172559841991,0.12797490056646516,1000,369,148
step89_summary_augmented_modular_v4,no_MMSE_ADAS13,1,AUROC,0.8674002332538918,0.8669858667219696,0.8034936229693144,0.9145836202653717,1000,570,37
step89_summary_augmented_modular_v4,no_MMSE_ADAS13,1,AUPRC,0.26038303474629554,0.2765781857360123,0.1861587803060167,0.38457934422143264,1000,570,37
step89_summary_augmented_modular_v4,no_MMSE_ADAS13,1,Brier,0.05219498171789953,0.05252898487549441,0.04022215749705709,0.0658198400018011,1000,570,37
step89_summary_augmented_modular_v4,no_MMSE_ADAS13,2,AUROC,0.8650932400932401,0.8648837261178587,0.8216872713732662,0.9049767500314188,1000,509,80
step89_summary_augmented_modular_v4,no_MMSE_ADAS13,2,AUPRC,0.49313103323627544,0.5020628258842698,0.38594771622605206,0.6181867437662114,1000,509,80
step89_summary_augmented_modular_v4,no_MMSE_ADAS13,2,Brier,0.09639315732709375,0.0960679603672141,0.08113124199663929,0.1119052364183685,1000,509,80
step89_summary_augmented_modular_v4,no_MMSE_ADAS13,3,AUROC,0.8789423701704404,0.8783931452878901,0.841633231374375,0.9109790118234166,1000,459,117
step89_summary_augmented_modular_v4,no_MMSE_ADAS13,3,AUPRC,0.7075415817708308,0.7091357791625273,0.6213223597274853,0.78520662443638,1000,459,117
step89_summary_augmented_modular_v4,no_MMSE_ADAS13,3,Brier,0.11752055236637009,0.11776509421103541,0.1007669216556272,0.13525061764165153,1000,459,117
